id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
89,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 4,1,UNIT,2014
90,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 5,0,UNIT,2014
91,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 1,0,UNIT,2014
92,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 2,2,UNIT,2014
93,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 3,0,UNIT,2014
94,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 4,0,UNIT,2014
95,32,JAWA BARAT,3272,KOTA SUKABUMI,BINTANG 5,0,UNIT,2014
96,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 1,9,UNIT,2014
97,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 2,16,UNIT,2014
98,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 3,29,UNIT,2014
99,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 4,20,UNIT,2014
100,32,JAWA BARAT,3273,KOTA BANDUNG,BINTANG 5,6,UNIT,2014
101,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 1,0,UNIT,2014
102,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 2,5,UNIT,2014
103,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 3,2,UNIT,2014
104,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 4,1,UNIT,2014
105,32,JAWA BARAT,3274,KOTA CIREBON,BINTANG 5,0,UNIT,2014
106,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 1,1,UNIT,2014
107,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 2,0,UNIT,2014
108,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 3,0,UNIT,2014
109,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 4,1,UNIT,2014
110,32,JAWA BARAT,3275,KOTA BEKASI,BINTANG 5,0,UNIT,2014
111,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 1,1,UNIT,2014
112,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 2,0,UNIT,2014
113,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 3,0,UNIT,2014
114,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 4,0,UNIT,2014
115,32,JAWA BARAT,3276,KOTA DEPOK,BINTANG 5,0,UNIT,2014
116,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 1,0,UNIT,2014
117,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 2,0,UNIT,2014
118,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 3,0,UNIT,2014
119,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 4,0,UNIT,2014
120,32,JAWA BARAT,3277,KOTA CIMAHI,BINTANG 5,0,UNIT,2014
121,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 1,1,UNIT,2014
122,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 2,2,UNIT,2014
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 3,2,UNIT,2014
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 4,0,UNIT,2014
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BINTANG 5,0,UNIT,2014
126,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 1,0,UNIT,2014
127,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 2,0,UNIT,2014
128,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 3,0,UNIT,2014
129,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 4,0,UNIT,2014
130,32,JAWA BARAT,3279,KOTA BANJAR,BINTANG 5,0,UNIT,2014
131,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 1,4,UNIT,2015
132,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 2,4,UNIT,2015
133,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 3,9,UNIT,2015
134,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 4,4,UNIT,2015
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,BINTANG 5,1,UNIT,2015
